Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
46,female,Australia,Yes,Yes,No,Never,1-5,No,Yes,Dont know,No,Dont know,Dont know,No,Somewhat easy,Maybe,Yes,Yes,Some of them,Maybe,No,Dont know,Yes
53,male,Australia,Yes,Yes,Yes,Often,1-5,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat difficult,Yes,No,Some of them,Some of them,No,Maybe,Dont know,Yes
30,female,India,Yes,No,Yes,Never,6-25,Yes,Yes,No,No,No,No,Dont know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,Dont know,No
49,male,Netherlands,No,Yes,Yes,Sometimes,26-100,No,Yes,No,Not sure,Dont know,No,Yes,Dont know,Maybe,Yes,No,Some of them,Maybe,No,Yes,No
24,male,Sweden,Yes,No,Yes,Sometimes,1-5,Yes,Yes,No,Yes,No,Dont know,Dont know,Dont know,No,No,No,Some of them,Maybe,Maybe,Dont know,No
39,male,India,Yes,No,No,Often,6-25,No,Yes,Yes,Not sure,No,No,Dont know,Somewhat easy,Yes,Yes,Yes,Some of them,No,Yes,No,Yes
45,male,United States,Yes,Yes,Yes,Never,100-500,Yes,No,Yes,Yes,Yes,No,Yes,Very difficult,No,Maybe,No,No,Maybe,Yes,Yes,No
19,male,Netherlands,No,Yes,No,Often,6-25,No,No,Yes,No,No,Dont know,Dont know,Somewhat difficult,No,No,Yes,Some of them,Yes,No,Yes,Yes
59,male,Netherlands,Yes,No,Yes,Never,6-25,No,Yes,Yes,Yes,No,Yes,Dont know,Very difficult,No,No,Yes,No,No,Yes,No,Yes
62,female,Brazil,Yes,No,Yes,Rarely,1-5,No,No,Dont know,No,Dont know,Dont know,Yes,Somewhat easy,No,No,No,Some of them,Maybe,Maybe,Dont know,Yes
23,male,Brazil,No,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,Dont know,No,Dont know,Somewhat difficult,Maybe,Maybe,Yes,Some of them,Maybe,Yes,No,Yes
45,male,United Kingdom,No,Yes,Yes,Often,500-1000,No,Yes,Yes,Yes,No,Yes,No,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,Yes,Yes
45,male,United Kingdom,Yes,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,Yes,No,Dont know,Very easy,Maybe,No,Yes,No,No,Maybe,Yes,Yes
61,male,Canada,Yes,No,No,Rarely,500-1000,Yes,Yes,No,Yes,Yes,Yes,Dont know,Somewhat easy,No,Yes,Yes,Some of them,No,No,Yes,Yes
61,male,United States,Yes,No,Yes,Often,6-25,No,No,No,Not sure,Dont know,No,Dont know,Somewhat easy,No,Maybe,No,Yes,Yes,Yes,No,No
37,male,Germany,Yes,No,Yes,Often,More than 1000,No,Yes,No,Yes,No,Dont know,Yes,Very easy,Yes,No,Some of them,Some of them,Yes,No,Dont know,No
47,male,Germany,Yes,No,Yes,Rarely,1-5,No,Yes,Dont know,Not sure,No,No,No,Very difficult,Yes,No,Yes,No,Maybe,No,Yes,No
28,female,Brazil,No,No,No,Never,26-100,Yes,Yes,Dont know,No,Yes,No,No,Very easy,Maybe,Maybe,Yes,No,Maybe,No,Dont know,Yes
45,female,Brazil,No,Yes,No,Rarely,6-25,Yes,Yes,Yes,No,Yes,Yes,Dont know,Somewhat easy,Maybe,Yes,Yes,Yes,No,Maybe,Yes,Yes
42,male,Brazil,Yes,Yes,No,Often,6-25,No,Yes,No,Not sure,Yes,No,Yes,Very difficult,Yes,No,Yes,Yes,Maybe,Maybe,Dont know,No
56,male,Sweden,Yes,No,No,Rarely,More than 1000,Yes,Yes,Dont know,No,Dont know,Dont know,Yes,Somewhat difficult,Maybe,Yes,Yes,Yes,Maybe,Maybe,No,Yes
50,male,France,No,No,Yes,Never,1-5,No,Yes,No,No,No,Dont know,No,Very easy,No,Yes,Yes,No,No,Maybe,Yes,Yes
18,male,United Kingdom,Yes,Yes,Yes,Sometimes,100-500,No,Yes,Dont know,Yes,Dont know,Dont know,Yes,Very difficult,No,Maybe,Some of them,Some of them,Yes,Yes,Yes,Yes
44,male,Sweden,Yes,Yes,Yes,Sometimes,6-25,No,No,Dont know,Yes,No,Yes,Dont know,Very difficult,Yes,No,Some of them,Some of them,Yes,Yes,Yes,Yes
30,male,Australia,Yes,Yes,No,Rarely,100-500,Yes,Yes,Yes,Yes,Dont know,Yes,Dont know,Very difficult,Maybe,No,Yes,Yes,Yes,Maybe,No,Yes
58,female,Germany,Yes,Yes,Yes,Never,100-500,No,Yes,Yes,Not sure,No,No,Yes,Very easy,No,Yes,Yes,Yes,Maybe,Maybe,No,Yes
20,female,Other,Yes,No,Yes,Sometimes,500-1000,No,Yes,Dont know,Not sure,Yes,No,Dont know,Somewhat difficult,Yes,Maybe,No,Some of them,No,Yes,Dont know,Yes
56,male,Netherlands,No,Yes,No,Rarely,1-5,No,Yes,Yes,No,Yes,No,No,Very difficult,Maybe,Maybe,Some of them,Yes,Yes,No,No,Yes
23,male,United Kingdom,Yes,No,No,Rarely,100-500,Yes,Yes,Dont know,Yes,Yes,Yes,Dont know,Very easy,No,Maybe,Some of them,Some of them,Maybe,No,Yes,Yes
25,male,India,Yes,Yes,No,Never,1-5,Yes,Yes,Dont know,Not sure,Dont know,Yes,Yes,Somewhat easy,Maybe,Yes,Yes,Some of them,No,Maybe,Dont know,Yes
44,female,Australia,Yes,Yes,Yes,Often,500-1000,Yes,No,No,Not sure,Yes,No,No,Very easy,Maybe,Yes,Some of them,Some of them,Yes,No,No,Yes
26,male,United Kingdom,No,Yes,Yes,Rarely,1-5,No,Yes,Yes,Yes,No,Yes,Dont know,Very easy,Maybe,No,Some of them,Some of them,Yes,Maybe,Dont know,Yes
54,male,Other,No,No,No,Often,6-25,Yes,No,Yes,Not sure,Dont know,Yes,No,Very easy,Yes,Maybe,No,No,No,Maybe,Dont know,No
50,female,Sweden,No,No,Yes,Often,100-500,No,No,Yes,Yes,No,Dont know,Yes,Very difficult,No,Yes,No,Some of them,Maybe,Maybe,Dont know,Yes
59,male,United States,No,Yes,No,Sometimes,1-5,Yes,Yes,No,No,Dont know,Dont know,Dont know,Very easy,Yes,Maybe,Some of them,Yes,Maybe,Yes,Yes,Yes
61,female,Netherlands,Yes,No,No,Often,26-100,No,Yes,No,No,No,No,Dont know,Somewhat easy,No,Yes,Some of them,Yes,Yes,No,Yes,No
41,male,United Kingdom,No,No,Yes,Never,1-5,Yes,Yes,No,No,No,No,No,Very difficult,No,No,Some of them,Yes,No,Yes,No,No
32,male,France,Yes,Yes,No,Sometimes,100-500,No,No,Yes,Yes,Dont know,Dont know,Dont know,Somewhat easy,Yes,Maybe,Yes,Yes,Maybe,No,Yes,No
49,male,Brazil,Yes,Yes,No,Sometimes,500-1000,Yes,No,Yes,Not sure,Dont know,Yes,Dont know,Dont know,Yes,Yes,No,No,No,Yes,Dont know,Yes
49,female,Brazil,No,No,No,Sometimes,500-1000,Yes,Yes,Yes,No,Yes,No,Dont know,Very easy,No,Maybe,Yes,Some of them,No,Yes,Dont know,Yes
41,female,Netherlands,No,No,Yes,Rarely,100-500,Yes,Yes,No,No,Yes,No,Dont know,Very difficult,No,Yes,No,Some of them,Yes,Maybe,Yes,No
58,female,Other,No,No,No,Rarely,6-25,No,Yes,No,No,No,No,Yes,Very difficult,No,Yes,No,Yes,No,Maybe,Dont know,No
29,male,Sweden,No,Yes,No,Often,6-25,Yes,No,Dont know,Not sure,No,Yes,Dont know,Very easy,Maybe,Yes,No,Yes,No,Yes,Yes,No
56,female,Brazil,No,Yes,No,Sometimes,500-1000,Yes,No,No,Not sure,No,Dont know,No,Somewhat difficult,No,Maybe,Some of them,Yes,No,No,Dont know,Yes
19,male,United Kingdom,Yes,No,No,Sometimes,500-1000,Yes,Yes,Dont know,Yes,Dont know,No,Yes,Somewhat difficult,Yes,Yes,No,Some of them,Maybe,No,No,Yes
20,male,India,No,Yes,No,Never,100-500,Yes,Yes,Yes,No,Dont know,Dont know,No,Somewhat easy,Yes,No,Yes,No,Yes,Maybe,No,No
54,female,Germany,No,Yes,No,Often,6-25,No,Yes,No,Not sure,Yes,Dont know,No,Very easy,Yes,Maybe,No,No,Yes,Maybe,Yes,Yes
34,male,Germany,No,No,No,Never,500-1000,Yes,Yes,Yes,Yes,No,Yes,No,Very easy,No,No,Yes,No,No,No,Yes,Yes
19,male,Australia,Yes,No,Yes,Often,6-25,No,No,Yes,No,Yes,Yes,Yes,Dont know,No,No,No,No,No,No,Yes,No
19,male,Canada,No,Yes,Yes,Often,500-1000,No,Yes,Yes,Not sure,Dont know,Yes,Yes,Somewhat difficult,Maybe,Maybe,No,Yes,Maybe,No,Yes,No
45,male,United States,Yes,Yes,No,Rarely,1-5,No,Yes,Yes,Not sure,Dont know,Yes,Yes,Somewhat difficult,Maybe,Yes,Some of them,Some of them,Yes,Maybe,Yes,No
40,male,Netherlands,No,No,Yes,Rarely,26-100,No,Yes,No,Yes,Dont know,Yes,Dont know,Very easy,Yes,No,Yes,Yes,Maybe,No,Dont know,Yes
54,male,Australia,No,Yes,Yes,Never,More than 1000,Yes,No,Yes,No,Yes,Yes,No,Somewhat easy,Maybe,Maybe,No,No,Yes,Maybe,No,Yes
49,male,Canada,Yes,Yes,No,Often,1-5,No,Yes,Dont know,No,Dont know,No,Yes,Very easy,Maybe,Yes,No,Yes,Maybe,Yes,Dont know,Yes
50,female,Sweden,No,No,Yes,Sometimes,More than 1000,No,Yes,No,Not sure,No,Dont know,No,Somewhat easy,Yes,Maybe,Yes,No,No,Yes,No,Yes
18,female,France,Yes,No,No,Rarely,500-1000,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,No,Maybe,No,Some of them,Maybe,Yes,Dont know,Yes
36,male,France,Yes,Yes,No,Sometimes,26-100,No,No,No,Yes,Dont know,No,Yes,Dont know,Maybe,Maybe,Some of them,No,No,No,Dont know,No
19,male,United States,Yes,Yes,No,Never,26-100,Yes,No,Dont know,Not sure,Yes,Dont know,Yes,Very difficult,No,Yes,Yes,Yes,Yes,Maybe,Dont know,Yes
61,male,Brazil,No,Yes,No,Rarely,500-1000,Yes,Yes,Yes,Not sure,Yes,Yes,No,Somewhat difficult,Yes,No,Some of them,Some of them,Yes,No,Yes,Yes
43,male,United Kingdom,No,No,No,Rarely,500-1000,No,Yes,Dont know,Yes,Dont know,Yes,Dont know,Somewhat easy,Yes,No,Yes,No,No,Maybe,No,No
49,male,Australia,No,Yes,Yes,Often,6-25,No,Yes,Yes,Not sure,Dont know,No,Yes,Very easy,Maybe,Maybe,Yes,No,Yes,No,Yes,No
23,male,Australia,Yes,Yes,No,Never,500-1000,No,Yes,Dont know,No,Yes,Dont know,Yes,Somewhat difficult,Yes,Maybe,Yes,Some of them,Maybe,Yes,Yes,No
49,male,Netherlands,No,No,Yes,Often,100-500,Yes,Yes,Yes,No,Yes,Yes,Yes,Dont know,Yes,Yes,No,Yes,No,Maybe,Dont know,No
21,male,Netherlands,Yes,No,No,Rarely,500-1000,Yes,No,No,Not sure,Dont know,Dont know,Dont know,Somewhat easy,Yes,Maybe,Yes,Some of them,Yes,No,No,Yes
28,male,France,No,Yes,No,Never,100-500,Yes,Yes,Yes,Yes,No,No,No,Very easy,Maybe,Maybe,Yes,Yes,Maybe,Maybe,No,Yes
34,male,France,Yes,No,No,Rarely,500-1000,Yes,No,No,Yes,Yes,Yes,No,Very difficult,Maybe,Maybe,Yes,No,Maybe,Maybe,No,No
55,female,Other,Yes,No,Yes,Never,6-25,Yes,Yes,Yes,No,Yes,Dont know,No,Somewhat easy,Maybe,No,Some of them,No,Yes,No,No,Yes
41,female,India,Yes,Yes,No,Rarely,100-500,No,Yes,Yes,Yes,No,No,No,Very easy,Yes,Maybe,Yes,Some of them,Yes,No,Yes,No
22,male,India,No,No,No,Sometimes,1-5,Yes,Yes,Dont know,Not sure,Dont know,No,Yes,Very difficult,No,No,No,No,Maybe,Maybe,Yes,Yes
51,female,Other,Yes,No,No,Sometimes,100-500,Yes,Yes,Dont know,Not sure,Dont know,Yes,Dont know,Very easy,Yes,Yes,Yes,Some of them,No,Maybe,No,Yes
23,male,Brazil,Yes,Yes,No,Often,6-25,No,Yes,Dont know,No,No,Dont know,Yes,Very difficult,Maybe,Yes,Yes,No,Yes,Yes,Yes,Yes
39,female,India,Yes,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,No,Dont know,Yes,Dont know,Very difficult,No,No,Some of them,No,Yes,Maybe,No,No
28,female,United Kingdom,Yes,Yes,No,Rarely,100-500,Yes,Yes,Yes,No,Dont know,Yes,No,Very difficult,No,No,No,Yes,No,Yes,Yes,No
65,male,United Kingdom,Yes,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,Yes,Dont know,Dont know,Very easy,Maybe,No,No,Some of them,No,Yes,Dont know,Yes
33,male,Australia,Yes,No,No,Sometimes,500-1000,No,Yes,No,Not sure,Yes,Dont know,Yes,Very difficult,No,No,No,Some of them,Yes,Yes,Dont know,Yes
50,male,Germany,No,No,Yes,Often,More than 1000,Yes,No,No,Not sure,Yes,Dont know,Yes,Somewhat easy,No,Maybe,Yes,No,No,Maybe,No,No
26,male,Other,No,No,Yes,Sometimes,6-25,No,Yes,Yes,Not sure,No,No,No,Dont know,Maybe,No,Yes,Yes,Maybe,Yes,No,No
23,male,United Kingdom,Yes,Yes,No,Never,26-100,No,No,Dont know,No,Dont know,No,Yes,Dont know,No,No,No,Yes,Maybe,Maybe,Yes,Yes
33,male,Canada,No,No,No,Never,500-1000,Yes,Yes,Dont know,Not sure,Dont know,Dont know,Yes,Very difficult,No,No,No,Some of them,Maybe,Maybe,No,Yes
46,male,France,No,Yes,Yes,Never,1-5,Yes,Yes,Dont know,Yes,Yes,No,Dont know,Dont know,Maybe,Maybe,Some of them,Some of them,Yes,No,No,No
20,female,Netherlands,Yes,No,No,Sometimes,6-25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Dont know,No,Maybe,No,No,No,Maybe,Yes,Yes
37,other,India,Yes,No,No,Sometimes,100-500,Yes,No,Dont know,Not sure,No,Dont know,No,Very difficult,No,Maybe,Yes,Some of them,Maybe,Maybe,No,No
53,male,Other,Yes,No,No,Sometimes,100-500,No,Yes,Yes,No,Dont know,Yes,No,Very difficult,No,Yes,Yes,No,No,Yes,No,No
36,male,Australia,No,Yes,Yes,Never,1-5,Yes,Yes,No,Not sure,No,Dont know,Yes,Somewhat easy,No,Maybe,Yes,Yes,Maybe,Maybe,Dont know,Yes
43,male,United States,Yes,No,No,Often,500-1000,No,Yes,Dont know,Yes,Dont know,Yes,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,Dont know,Yes
20,male,Netherlands,No,No,No,Rarely,6-25,No,Yes,No,Yes,No,Dont know,Dont know,Very easy,Yes,Maybe,No,Yes,Maybe,No,Dont know,Yes
36,female,Canada,Yes,Yes,No,Sometimes,1-5,No,Yes,Dont know,Yes,Yes,Yes,Dont know,Very difficult,Yes,Maybe,Yes,Yes,Maybe,No,No,No
37,male,India,No,Yes,Yes,Often,500-1000,No,Yes,Yes,Not sure,No,Dont know,Yes,Very difficult,No,No,Some of them,No,Maybe,Yes,Yes,No
49,male,Canada,Yes,No,No,Rarely,6-25,No,Yes,Yes,Yes,No,Dont know,Yes,Dont know,Maybe,Maybe,Some of them,Yes,Maybe,Yes,Dont know,No
24,male,France,Yes,No,Yes,Rarely,100-500,Yes,No,Yes,No,Yes,No,Dont know,Somewhat easy,Maybe,Yes,Yes,No,Maybe,No,No,Yes
58,male,France,No,No,No,Rarely,6-25,No,Yes,Yes,Not sure,Dont know,Yes,No,Dont know,No,Maybe,Some of them,No,Maybe,No,Dont know,Yes
50,female,Brazil,No,Yes,Yes,Often,More than 1000,No,Yes,Dont know,Not sure,Dont know,No,Yes,Very difficult,Yes,Yes,Some of them,Yes,Maybe,Maybe,Yes,No
57,female,Australia,No,Yes,No,Often,26-100,Yes,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,Yes,Yes,Yes,Maybe,Yes,Yes,No
56,male,Netherlands,No,Yes,No,Never,6-25,Yes,Yes,Yes,Yes,No,No,No,Dont know,Maybe,Yes,Some of them,No,Maybe,Yes,Yes,Yes
35,male,Sweden,No,Yes,Yes,Often,26-100,No,Yes,Dont know,No,No,Dont know,Yes,Very difficult,Maybe,No,Yes,No,No,Maybe,Yes,No
57,male,Sweden,No,No,Yes,Often,6-25,No,Yes,No,Not sure,No,No,No,Somewhat difficult,Yes,Maybe,Yes,Yes,No,Maybe,Yes,Yes
18,female,Netherlands,Yes,Yes,Yes,Often,26-100,Yes,No,Yes,Yes,Dont know,No,No,Very easy,Maybe,Yes,Some of them,No,Yes,Yes,Yes,Yes
28,female,United States,No,Yes,No,Rarely,More than 1000,No,No,No,No,No,Dont know,No,Very easy,Maybe,Yes,Yes,No,Maybe,No,No,No
45,male,Australia,Yes,Yes,No,Sometimes,100-500,Yes,No,Yes,Yes,Dont know,No,No,Very easy,Maybe,Maybe,Yes,Some of them,No,No,Dont know,No
42,male,Canada,Yes,No,No,Never,500-1000,Yes,Yes,No,Not sure,No,Dont know,No,Somewhat difficult,Yes,No,No,Some of them,No,Maybe,Yes,No
40,female,United States,No,No,No,Sometimes,26-100,No,Yes,No,Yes,Yes,Yes,Dont know,Very difficult,Maybe,No,Yes,Some of them,No,Yes,Dont know,No
48,male,Germany,Yes,Yes,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Not sure,Yes,No,No,Dont know,No,Yes,No,Some of them,No,Maybe,Dont know,No
47,female,Netherlands,No,Yes,No,Often,26-100,No,Yes,Dont know,Yes,Dont know,Dont know,Dont know,Somewhat easy,Yes,No,No,Some of them,No,No,No,Yes
59,male,Canada,No,No,No,Never,100-500,No,Yes,No,Not sure,Dont know,Dont know,No,Very difficult,No,Maybe,No,No,No,No,Yes,No
52,male,Sweden,Yes,No,No,Sometimes,26-100,No,Yes,Yes,No,Yes,No,Yes,Somewhat difficult,No,No,No,No,Yes,Maybe,Yes,Yes
24,male,United Kingdom,Yes,No,No,Sometimes,More than 1000,Yes,Yes,No,Not sure,Yes,Yes,Dont know,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,No,No,No
33,male,Other,No,No,No,Never,More than 1000,No,Yes,No,No,No,No,Yes,Very easy,No,Yes,Some of them,Yes,Yes,Yes,No,No
43,male,Brazil,No,No,No,Often,1-5,Yes,Yes,Dont know,Not sure,Yes,Dont know,No,Very difficult,Yes,Maybe,Yes,Some of them,Yes,Maybe,No,No
65,female,Sweden,Yes,No,No,Sometimes,100-500,No,Yes,No,No,Dont know,Yes,No,Very easy,No,Yes,Yes,Yes,Maybe,Maybe,No,No
19,male,Australia,Yes,No,Yes,Rarely,1-5,No,Yes,No,Yes,Yes,No,Yes,Somewhat easy,Yes,Maybe,Yes,No,Maybe,Maybe,No,No
18,male,France,Yes,No,No,Sometimes,100-500,Yes,Yes,Yes,Not sure,Dont know,Dont know,No,Very easy,Maybe,Maybe,Some of them,Yes,Maybe,No,Dont know,No
65,male,Other,Yes,Yes,No,Rarely,26-100,No,Yes,Yes,Yes,Dont know,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,Yes
29,male,Other,No,Yes,No,Often,More than 1000,No,Yes,Dont know,No,No,Yes,No,Somewhat difficult,No,Maybe,Some of them,Yes,Maybe,Maybe,Yes,No
22,male,United Kingdom,No,Yes,No,Sometimes,1-5,Yes,No,No,Not sure,No,Yes,No,Very easy,Maybe,Yes,Some of them,No,No,Maybe,Yes,No
54,male,Brazil,No,Yes,Yes,Never,26-100,Yes,Yes,No,Not sure,No,Yes,Dont know,Very easy,Yes,Maybe,Yes,No,No,No,No,No
49,female,Brazil,No,Yes,Yes,Never,More than 1000,Yes,Yes,No,Yes,No,Yes,Yes,Dont know,No,Yes,Yes,Some of them,Maybe,Yes,No,No
26,male,Germany,Yes,Yes,Yes,Sometimes,100-500,No,Yes,Dont know,Not sure,Yes,Yes,No,Somewhat difficult,Maybe,Yes,Yes,No,Maybe,Maybe,No,Yes
58,male,Germany,Yes,No,Yes,Often,More than 1000,Yes,Yes,No,Not sure,No,No,Yes,Dont know,Maybe,Maybe,No,Some of them,Yes,No,No,Yes
52,male,India,No,No,Yes,Often,26-100,Yes,No,Yes,Yes,Yes,Yes,Dont know,Somewhat easy,No,No,No,Some of them,Yes,Maybe,No,Yes
36,female,Sweden,No,Yes,Yes,Never,1-5,No,Yes,Dont know,Not sure,No,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Yes,Yes
65,female,Sweden,No,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Yes,No,Dont know,Dont know,Somewhat difficult,Maybe,Maybe,No,Yes,No,Yes,Dont know,Yes
33,female,Sweden,No,No,Yes,Often,More than 1000,No,No,Yes,Yes,Dont know,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,No,No,Yes
20,male,India,No,No,Yes,Never,26-100,No,Yes,Dont know,Yes,Yes,Dont know,Yes,Somewhat difficult,Maybe,Yes,No,No,Maybe,Maybe,No,No
37,male,United States,No,No,No,Rarely,6-25,Yes,Yes,Yes,Yes,Dont know,Dont know,Dont know,Somewhat easy,Maybe,Maybe,No,Some of them,Yes,Maybe,No,No
41,male,Brazil,No,Yes,Yes,Sometimes,100-500,No,Yes,No,Yes,No,Dont know,No,Very difficult,Maybe,No,No,Some of them,Maybe,No,Yes,Yes
50,male,United Kingdom,No,No,No,Rarely,100-500,Yes,Yes,Dont know,No,Yes,No,No,Very easy,Maybe,No,No,No,No,Yes,Yes,No
41,male,Australia,No,Yes,No,Rarely,26-100,Yes,Yes,Yes,No,No,No,No,Very difficult,No,Yes,Yes,Some of them,Maybe,Yes,Dont know,No
28,male,Brazil,Yes,Yes,Yes,Often,6-25,Yes,Yes,No,Yes,Dont know,Dont know,Yes,Somewhat difficult,Yes,No,Yes,No,Yes,Maybe,Dont know,No
25,male,Germany,No,No,No,Often,1-5,Yes,No,No,No,Yes,No,Yes,Somewhat difficult,Yes,Yes,Some of them,Some of them,No,Maybe,Dont know,No
53,male,Other,Yes,No,Yes,Often,500-1000,No,Yes,Yes,No,Dont know,Yes,No,Very difficult,Maybe,Maybe,Some of them,Yes,Yes,No,Dont know,No
55,female,Canada,Yes,Yes,Yes,Sometimes,500-1000,No,Yes,No,Not sure,No,No,Yes,Very easy,Maybe,No,Some of them,No,Yes,No,Yes,Yes
57,male,France,No,No,No,Rarely,26-100,Yes,Yes,Dont know,Yes,No,Yes,Yes,Very easy,Yes,Maybe,No,No,No,No,Dont know,Yes
37,male,India,No,No,No,Sometimes,6-25,Yes,No,Yes,No,No,Yes,No,Dont know,Maybe,No,No,Yes,Yes,Yes,No,Yes
52,female,Netherlands,Yes,Yes,Yes,Often,6-25,No,No,No,Not sure,Yes,No,Dont know,Somewhat easy,Yes,No,Yes,No,Maybe,Yes,Yes,Yes
65,male,Canada,Yes,No,No,Rarely,100-500,Yes,Yes,No,Not sure,Dont know,No,Yes,Dont know,No,Maybe,Some of them,Yes,Maybe,Maybe,Yes,Yes
42,female,Australia,No,Yes,No,Sometimes,1-5,No,Yes,Yes,Yes,Dont know,Dont know,Yes,Very easy,No,No,Yes,Some of them,Yes,Maybe,Yes,Yes
52,male,Sweden,Yes,Yes,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Yes,No,No,Yes,Very difficult,No,Maybe,Some of them,Yes,Maybe,Maybe,No,No
42,male,Germany,No,No,Yes,Never,6-25,No,Yes,Yes,Not sure,Dont know,No,Yes,Somewhat easy,No,Maybe,Some of them,Yes,Yes,No,Yes,Yes
46,female,Germany,No,Yes,No,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,No,Dont know,Very difficult,No,Yes,Some of them,No,Maybe,Yes,No,No
35,female,Germany,No,Yes,Yes,Often,500-1000,No,Yes,Dont know,Yes,No,Yes,No,Dont know,No,Maybe,No,Some of them,Yes,Maybe,Dont know,No
63,female,Sweden,Yes,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Not sure,No,Yes,Yes,Somewhat difficult,Yes,Yes,Some of them,Yes,Maybe,Maybe,Yes,Yes
35,male,Netherlands,Yes,No,Yes,Rarely,1-5,Yes,No,Dont know,Not sure,No,Yes,No,Very difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes
19,male,India,No,No,Yes,Sometimes,1-5,Yes,Yes,Dont know,Yes,Yes,Dont know,Yes,Dont know,Yes,No,No,Yes,No,Maybe,Yes,Yes
52,male,Canada,Yes,Yes,Yes,Never,More than 1000,Yes,No,Yes,No,No,Dont know,Dont know,Dont know,No,Maybe,Some of them,No,Maybe,Maybe,Dont know,No
33,male,Sweden,Yes,Yes,Yes,Rarely,26-100,Yes,Yes,Dont know,Yes,No,Dont know,No,Dont know,Maybe,No,No,Yes,Yes,Maybe,Yes,Yes
58,female,Australia,Yes,No,Yes,Rarely,6-25,No,Yes,Yes,No,No,Yes,Dont know,Somewhat difficult,Maybe,Yes,No,Yes,Maybe,Yes,Dont know,Yes
53,male,India,Yes,Yes,No,Never,26-100,No,Yes,Yes,Not sure,No,No,Yes,Somewhat difficult,No,No,Yes,Some of them,Yes,Maybe,Yes,Yes
50,other,Australia,Yes,No,Yes,Often,More than 1000,No,Yes,No,No,Dont know,Dont know,Dont know,Somewhat difficult,No,Maybe,No,Yes,Maybe,Yes,No,No
21,male,India,Yes,No,No,Rarely,6-25,No,Yes,Yes,Not sure,No,Dont know,Dont know,Somewhat easy,No,No,No,No,Maybe,No,Dont know,Yes
50,male,Netherlands,Yes,Yes,No,Often,100-500,No,Yes,No,Yes,Yes,Yes,Yes,Somewhat difficult,No,Yes,No,No,No,Yes,Yes,Yes
31,male,France,No,No,No,Rarely,26-100,No,Yes,Dont know,Yes,No,Dont know,Yes,Somewhat difficult,No,No,Some of them,Yes,Yes,No,Dont know,No
38,female,Australia,Yes,Yes,Yes,Rarely,26-100,No,Yes,No,Not sure,No,No,No,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,Dont know,No
65,female,Sweden,Yes,Yes,Yes,Often,More than 1000,Yes,Yes,Dont know,Not sure,Dont know,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,Yes,Yes,No,No
37,female,India,Yes,No,No,Rarely,500-1000,No,Yes,Yes,Not sure,No,Yes,No,Somewhat difficult,No,Maybe,No,Some of them,Yes,Maybe,No,Yes
25,female,Germany,Yes,Yes,Yes,Often,More than 1000,Yes,Yes,Dont know,Yes,Dont know,No,Dont know,Somewhat easy,No,No,No,No,Yes,Yes,No,Yes
24,female,Brazil,Yes,No,No,Never,26-100,No,Yes,Dont know,Yes,Yes,No,Dont know,Dont know,Maybe,Yes,Yes,Some of them,No,Yes,No,No
20,female,Germany,Yes,Yes,Yes,Often,6-25,No,No,Yes,No,Dont know,No,No,Very difficult,Yes,No,Yes,Yes,Maybe,Maybe,Dont know,Yes
34,male,United States,Yes,Yes,Yes,Never,500-1000,Yes,Yes,Dont know,Not sure,No,Dont know,Yes,Very easy,No,Yes,No,No,Yes,No,Dont know,No
50,male,France,Yes,Yes,No,Rarely,More than 1000,No,Yes,Yes,No,Yes,No,Yes,Somewhat difficult,Maybe,Yes,No,Some of them,Yes,Maybe,Yes,No
65,male,France,No,No,No,Often,More than 1000,Yes,Yes,No,Yes,No,Yes,Dont know,Dont know,Maybe,Yes,Some of them,No,Maybe,Maybe,Yes,No
