Country,Age,Gender,EdLevel,UndergradMajor,Employment,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,WorkWeekHrs,WorkRemote,MentalHealth
Spain,47,male,Secondary school,Engineering,Student,Back-end developer,12+ years,3-5 years,Neutral,Slightly satisfied,52,Never,Excellent
India,19,male,Some college,Engineering,Student,Data scientist,6-8 years,Not applicable,Slightly dissatisfied,Slightly satisfied,44,Never,Good
Canada,64,female,Some college,Engineering,Employed part-time,Data scientist,12+ years,9-11 years,Neutral,Slightly dissatisfied,77,Sometimes,Excellent
France,47,female,Doctoral degree,Mathematics,Employed part-time,Data scientist,6-8 years,Not applicable,Very dissatisfied,Neutral,64,Rarely,Excellent
India,31,male,Bachelors degree,Engineering,Employed part-time,Data scientist,12+ years,12+ years,Neutral,Neutral,79,Most of the time,Poor
Other,25,male,Masters degree,Engineering,Student,Back-end developer,6-8 years,0-2 years,Neutral,Slightly dissatisfied,26,Most of the time,Good
Spain,47,male,Masters degree,Information systems,Not employed,Back-end developer,3-5 years,12+ years,Slightly dissatisfied,Slightly dissatisfied,46,Most of the time,Good
United States,59,female,Secondary school,Computer science,Student,Back-end developer,3-5 years,9-11 years,Slightly satisfied,Neutral,67,Most of the time,Excellent
United Kingdom,19,male,Some college,Other,Self-employed,Back-end developer,9-11 years,9-11 years,Slightly satisfied,Very satisfied,56,Full-time remote,Poor
United Kingdom,20,male,Doctoral degree,Computer science,Self-employed,Data scientist,9-11 years,0-2 years,Slightly dissatisfied,Very dissatisfied,59,Sometimes,Excellent
Australia,45,male,Doctoral degree,Engineering,Student,Front-end developer,12+ years,9-11 years,Very dissatisfied,Slightly satisfied,58,Most of the time,Fair
Brazil,28,female,Some college,Mathematics,Employed full-time,Front-end developer,9-11 years,6-8 years,Very satisfied,Neutral,74,Sometimes,Fair
France,53,female,Doctoral degree,Other,Student,Front-end developer,6-8 years,6-8 years,Very satisfied,Very satisfied,60,Most of the time,Fair
Other,53,male,Secondary school,Engineering,Student,Data scientist,0-2 years,12+ years,Very dissatisfied,Slightly satisfied,77,Full-time remote,Fair
United States,48,male,Some college,Engineering,Student,Other,12+ years,3-5 years,Slightly satisfied,Very dissatisfied,66,Most of the time,Excellent
Netherlands,23,male,Doctoral degree,Information systems,Employed full-time,Front-end developer,0-2 years,3-5 years,Neutral,Neutral,21,Rarely,Fair
Canada,27,male,Some college,Computer science,Employed full-time,Other,6-8 years,Not applicable,Neutral,Neutral,61,Most of the time,Good
United States,59,male,Some college,Mathematics,Not employed,Back-end developer,3-5 years,3-5 years,Neutral,Slightly dissatisfied,63,Sometimes,Excellent
Spain,28,male,Secondary school,Other,Not employed,Data scientist,6-8 years,3-5 years,Very dissatisfied,Very satisfied,79,Most of the time,Excellent
Other,41,male,Masters degree,Computer science,Student,Front-end developer,12+ years,12+ years,Very dissatisfied,Very dissatisfied,54,Rarely,Excellent
Spain,33,female,Masters degree,Computer science,Employed full-time,Other,9-11 years,0-2 years,Very dissatisfied,Slightly satisfied,63,Full-time remote,Good
India,64,female,Doctoral degree,Engineering,Self-employed,Back-end developer,0-2 years,12+ years,Very dissatisfied,Neutral,49,Most of the time,Good
Spain,32,male,Some college,Engineering,Student,Front-end developer,12+ years,0-2 years,Slightly dissatisfied,Very satisfied,65,Rarely,Prefer not to say
India,24,male,Masters degree,Information systems,Self-employed,Other,6-8 years,6-8 years,Very satisfied,Neutral,70,Never,Fair
Brazil,49,female,Bachelors degree,Computer science,Self-employed,Other,9-11 years,9-11 years,Very dissatisfied,Slightly dissatisfied,71,Sometimes,Good
United States,57,male,Bachelors degree,Computer science,Student,Front-end developer,6-8 years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,21,Rarely,Excellent
United Kingdom,53,male,Doctoral degree,Information systems,Employed full-time,Front-end developer,3-5 years,9-11 years,Very satisfied,Neutral,22,Most of the time,Fair
India,49,female,Masters degree,Computer science,Student,Data scientist,9-11 years,0-2 years,Slightly satisfied,Slightly dissatisfied,39,Never,Good
France,50,female,Some college,Mathematics,Not employed,Front-end developer,3-5 years,6-8 years,Slightly satisfied,Neutral,50,Rarely,Good
Netherlands,47,male,Masters degree,Engineering,Student,Full-stack developer,6-8 years,3-5 years,Very dissatisfied,Slightly satisfied,55,Sometimes,Fair
Netherlands,62,female,Masters degree,Information systems,Student,Front-end developer,12+ years,6-8 years,Very satisfied,Slightly satisfied,23,Most of the time,Good
Netherlands,38,male,Bachelors degree,Computer science,Employed full-time,Data scientist,12+ years,6-8 years,Neutral,Very dissatisfied,64,Full-time remote,Excellent
United States,59,female,Masters degree,Information systems,Student,Data scientist,6-8 years,3-5 years,Very satisfied,Very dissatisfied,22,Sometimes,Excellent
France,34,male,Masters degree,Engineering,Not employed,Back-end developer,9-11 years,Not applicable,Very dissatisfied,Very satisfied,71,Rarely,Good
Netherlands,47,male,Bachelors degree,Engineering,Employed full-time,Other,6-8 years,6-8 years,Very satisfied,Slightly dissatisfied,54,Sometimes,Excellent
France,59,male,Masters degree,Information systems,Employed part-time,Other,6-8 years,0-2 years,Slightly satisfied,Slightly dissatisfied,36,Full-time remote,Prefer not to say
Spain,41,male,Some college,Computer science,Not employed,Other,9-11 years,6-8 years,Neutral,Very satisfied,76,Never,Poor
Germany,35,male,Secondary school,Information systems,Employed full-time,Front-end developer,0-2 years,Not applicable,Slightly dissatisfied,Neutral,29,Full-time remote,Good
United Kingdom,20,male,Some college,Information systems,Employed part-time,Full-stack developer,3-5 years,12+ years,Very satisfied,Neutral,80,Full-time remote,Prefer not to say
United States,37,male,Secondary school,Computer science,Employed part-time,Back-end developer,3-5 years,9-11 years,Slightly satisfied,Slightly satisfied,40,Never,Excellent
France,49,other,Masters degree,Mathematics,Self-employed,Back-end developer,0-2 years,6-8 years,Very satisfied,Neutral,55,Sometimes,Excellent
France,37,male,Bachelors degree,Engineering,Employed full-time,Data scientist,6-8 years,Not applicable,Very dissatisfied,Very dissatisfied,51,Most of the time,Good
United States,45,other,Masters degree,Engineering,Employed part-time,Other,12+ years,3-5 years,Very dissatisfied,Very dissatisfied,57,Full-time remote,Prefer not to say
India,60,male,Doctoral degree,Information systems,Student,Back-end developer,3-5 years,9-11 years,Slightly dissatisfied,Slightly satisfied,45,Rarely,Poor
Germany,22,other,Bachelors degree,Computer science,Employed full-time,Back-end developer,0-2 years,Not applicable,Slightly dissatisfied,Neutral,56,Sometimes,Good
France,31,male,Doctoral degree,Information systems,Student,Data scientist,12+ years,0-2 years,Slightly satisfied,Very satisfied,43,Rarely,Good
Other,22,male,Masters degree,Mathematics,Employed part-time,Other,0-2 years,Not applicable,Neutral,Very dissatisfied,59,Most of the time,Excellent
Other,60,male,Bachelors degree,Mathematics,Not employed,Full-stack developer,12+ years,9-11 years,Neutral,Neutral,63,Never,Good
France,46,male,Doctoral degree,Engineering,Not employed,Full-stack developer,12+ years,3-5 years,Neutral,Slightly dissatisfied,77,Sometimes,Excellent
United Kingdom,47,male,Doctoral degree,Other,Employed part-time,Back-end developer,12+ years,9-11 years,Neutral,Slightly dissatisfied,63,Full-time remote,Good
United States,48,male,Some college,Computer science,Not employed,Back-end developer,9-11 years,Not applicable,Slightly satisfied,Neutral,52,Sometimes,Poor
Netherlands,35,female,Bachelors degree,Mathematics,Not employed,Other,12+ years,Not applicable,Slightly satisfied,Very dissatisfied,80,Sometimes,Poor
Other,50,male,Doctoral degree,Other,Student,Front-end developer,9-11 years,Not applicable,Slightly satisfied,Very dissatisfied,34,Sometimes,Excellent
Australia,61,male,Some college,Other,Self-employed,Other,3-5 years,12+ years,Very satisfied,Slightly dissatisfied,66,Sometimes,Poor
Netherlands,62,male,Masters degree,Computer science,Employed full-time,Full-stack developer,0-2 years,9-11 years,Slightly dissatisfied,Very satisfied,58,Most of the time,Fair
Spain,52,female,Masters degree,Information systems,Employed part-time,Full-stack developer,3-5 years,3-5 years,Slightly satisfied,Slightly satisfied,54,Full-time remote,Excellent
India,34,female,Doctoral degree,Other,Self-employed,Other,3-5 years,3-5 years,Slightly satisfied,Very satisfied,58,Sometimes,Fair
Spain,47,male,Secondary school,Information systems,Employed part-time,Back-end developer,9-11 years,12+ years,Very dissatisfied,Very dissatisfied,55,Sometimes,Good
France,46,female,Doctoral degree,Information systems,Student,Full-stack developer,3-5 years,12+ years,Neutral,Very satisfied,32,Full-time remote,Good
India,25,male,Doctoral degree,Mathematics,Not employed,Front-end developer,6-8 years,3-5 years,Slightly dissatisfied,Very dissatisfied,48,Full-time remote,Excellent
Canada,64,male,Bachelors degree,Other,Employed full-time,Back-end developer,6-8 years,9-11 years,Very satisfied,Slightly satisfied,30,Sometimes,Poor
India,31,male,Doctoral degree,Engineering,Employed part-time,Other,0-2 years,0-2 years,Slightly satisfied,Slightly dissatisfied,79,Never,Good
India,20,female,Masters degree,Information systems,Self-employed,Front-end developer,3-5 years,Not applicable,Neutral,Very satisfied,54,Rarely,Fair
Spain,29,male,Doctoral degree,Other,Student,Data scientist,12+ years,3-5 years,Slightly dissatisfied,Very dissatisfied,42,Sometimes,Excellent
Other,18,male,Bachelors degree,Other,Employed part-time,Other,12+ years,3-5 years,Neutral,Very satisfied,20,Full-time remote,Poor
United States,39,female,Secondary school,Computer science,Not employed,Back-end developer,0-2 years,9-11 years,Very satisfied,Slightly dissatisfied,33,Most of the time,Fair
India,45,female,Some college,Information systems,Student,Back-end developer,3-5 years,9-11 years,Slightly dissatisfied,Neutral,76,Rarely,Excellent
India,19,female,Doctoral degree,Other,Employed part-time,Back-end developer,0-2 years,9-11 years,Very dissatisfied,Very satisfied,53,Full-time remote,Good
Other,64,male,Doctoral degree,Other,Employed part-time,Front-end developer,9-11 years,0-2 years,Very satisfied,Slightly satisfied,44,Most of the time,Fair
Germany,63,male,Masters degree,Computer science,Not employed,Full-stack developer,9-11 years,Not applicable,Very satisfied,Very satisfied,45,Most of the time,Good
Spain,40,male,Doctoral degree,Mathematics,Student,Full-stack developer,9-11 years,9-11 years,Very dissatisfied,Slightly dissatisfied,37,Full-time remote,Good
Canada,49,male,Doctoral degree,Mathematics,Not employed,Full-stack developer,12+ years,6-8 years,Slightly satisfied,Slightly satisfied,56,Sometimes,Poor
Germany,22,male,Doctoral degree,Other,Employed full-time,Full-stack developer,3-5 years,6-8 years,Slightly dissatisfied,Slightly satisfied,54,Never,Fair
Spain,42,male,Bachelors degree,Engineering,Self-employed,Other,9-11 years,Not applicable,Very dissatisfied,Neutral,32,Sometimes,Good
Australia,50,male,Doctoral degree,Information systems,Employed full-time,Front-end developer,9-11 years,6-8 years,Slightly satisfied,Very satisfied,60,Rarely,Poor
Other,31,male,Doctoral degree,Computer science,Employed full-time,Full-stack developer,3-5 years,6-8 years,Very dissatisfied,Neutral,44,Rarely,Good
United Kingdom,59,male,Secondary school,Computer science,Self-employed,Other,6-8 years,6-8 years,Very satisfied,Neutral,40,Never,Good
United Kingdom,28,male,Secondary school,Engineering,Student,Full-stack developer,0-2 years,3-5 years,Slightly dissatisfied,Slightly satisfied,55,Most of the time,Good
Australia,24,male,Bachelors degree,Other,Student,Front-end developer,12+ years,12+ years,Slightly dissatisfied,Neutral,24,Most of the time,Excellent
India,20,male,Secondary school,Other,Employed full-time,Other,9-11 years,Not applicable,Neutral,Slightly satisfied,66,Sometimes,Prefer not to say
France,59,male,Bachelors degree,Other,Not employed,Full-stack developer,6-8 years,12+ years,Very dissatisfied,Very dissatisfied,70,Most of the time,Poor
United States,34,male,Bachelors degree,Computer science,Employed full-time,Back-end developer,3-5 years,3-5 years,Very satisfied,Neutral,56,Rarely,Fair
Canada,59,male,Some college,Information systems,Student,Front-end developer,9-11 years,6-8 years,Slightly satisfied,Neutral,29,Rarely,Excellent
United Kingdom,25,male,Doctoral degree,Other,Employed part-time,Back-end developer,12+ years,6-8 years,Neutral,Slightly satisfied,62,Sometimes,Excellent
Brazil,33,male,Secondary school,Mathematics,Employed full-time,Full-stack developer,3-5 years,Not applicable,Very satisfied,Very satisfied,78,Sometimes,Good
Other,49,male,Doctoral degree,Mathematics,Student,Full-stack developer,6-8 years,0-2 years,Very dissatisfied,Slightly satisfied,36,Most of the time,Good
Germany,20,male,Bachelors degree,Computer science,Student,Back-end developer,3-5 years,9-11 years,Slightly satisfied,Slightly satisfied,57,Rarely,Fair
France,26,male,Bachelors degree,Engineering,Not employed,Front-end developer,3-5 years,3-5 years,Very satisfied,Neutral,45,Rarely,Good
Australia,51,male,Secondary school,Engineering,Student,Front-end developer,6-8 years,0-2 years,Very dissatisfied,Slightly satisfied,54,Never,Good
Spain,51,female,Bachelors degree,Engineering,Not employed,Other,9-11 years,9-11 years,Slightly dissatisfied,Neutral,34,Most of the time,Poor
Netherlands,44,male,Doctoral degree,Mathematics,Employed full-time,Data scientist,9-11 years,9-11 years,Slightly satisfied,Slightly dissatisfied,74,Never,Poor
Other,32,male,Doctoral degree,Mathematics,Student,Other,0-2 years,0-2 years,Slightly satisfied,Slightly dissatisfied,55,Sometimes,Excellent
Spain,46,male,Some college,Computer science,Employed part-time,Front-end developer,6-8 years,9-11 years,Neutral,Very dissatisfied,51,Rarely,Excellent
Netherlands,28,male,Doctoral degree,Engineering,Not employed,Back-end developer,12+ years,Not applicable,Slightly satisfied,Slightly satisfied,67,Never,Good
United Kingdom,59,male,Doctoral degree,Other,Employed full-time,Back-end developer,3-5 years,3-5 years,Slightly satisfied,Slightly dissatisfied,43,Rarely,Fair
Other,58,male,Some college,Computer science,Student,Front-end developer,0-2 years,0-2 years,Neutral,Slightly satisfied,53,Rarely,Good
Spain,63,male,Bachelors degree,Computer science,Employed part-time,Data scientist,6-8 years,9-11 years,Very dissatisfied,Very dissatisfied,68,Never,Fair
Spain,62,male,Doctoral degree,Information systems,Self-employed,Front-end developer,0-2 years,9-11 years,Slightly satisfied,Slightly dissatisfied,53,Rarely,Fair
Canada,25,female,Some college,Mathematics,Not employed,Back-end developer,6-8 years,0-2 years,Neutral,Slightly dissatisfied,66,Never,Good
Netherlands,22,female,Bachelors degree,Mathematics,Not employed,Back-end developer,6-8 years,12+ years,Very satisfied,Very satisfied,52,Full-time remote,Fair
Australia,23,male,Secondary school,Computer science,Self-employed,Front-end developer,12+ years,12+ years,Neutral,Slightly satisfied,29,Rarely,Excellent
Canada,38,male,Bachelors degree,Computer science,Student,Data scientist,0-2 years,Not applicable,Slightly dissatisfied,Slightly dissatisfied,78,Sometimes,Prefer not to say
Other,33,male,Masters degree,Engineering,Self-employed,Full-stack developer,0-2 years,9-11 years,Slightly satisfied,Very dissatisfied,60,Most of the time,Good
United Kingdom,18,female,Masters degree,Information systems,Employed full-time,Front-end developer,0-2 years,6-8 years,Very satisfied,Very dissatisfied,56,Rarely,Good
Other,50,male,Bachelors degree,Mathematics,Self-employed,Data scientist,6-8 years,0-2 years,Slightly satisfied,Very satisfied,78,Rarely,Good
Spain,48,male,Secondary school,Engineering,Employed full-time,Back-end developer,0-2 years,Not applicable,Neutral,Neutral,64,Rarely,Poor
Spain,56,male,Some college,Engineering,Student,Back-end developer,12+ years,9-11 years,Neutral,Neutral,47,Never,Good
Australia,30,male,Secondary school,Other,Self-employed,Front-end developer,9-11 years,12+ years,Slightly satisfied,Slightly satisfied,29,Rarely,Excellent
Spain,57,male,Bachelors degree,Mathematics,Student,Full-stack developer,9-11 years,Not applicable,Slightly satisfied,Slightly dissatisfied,40,Rarely,Fair
Other,60,male,Secondary school,Mathematics,Self-employed,Back-end developer,0-2 years,9-11 years,Very dissatisfied,Slightly dissatisfied,46,Never,Excellent
Netherlands,20,male,Secondary school,Engineering,Employed full-time,Full-stack developer,6-8 years,9-11 years,Very dissatisfied,Slightly dissatisfied,60,Full-time remote,Good
United States,52,male,Secondary school,Computer science,Self-employed,Full-stack developer,9-11 years,Not applicable,Neutral,Very satisfied,29,Most of the time,Excellent
Australia,24,male,Secondary school,Mathematics,Self-employed,Back-end developer,12+ years,Not applicable,Very satisfied,Very satisfied,72,Most of the time,Fair
Australia,60,female,Some college,Information systems,Self-employed,Front-end developer,6-8 years,12+ years,Slightly dissatisfied,Slightly dissatisfied,32,Never,Fair
France,57,female,Masters degree,Computer science,Not employed,Full-stack developer,6-8 years,9-11 years,Neutral,Neutral,57,Never,Excellent
Brazil,30,male,Secondary school,Computer science,Not employed,Front-end developer,9-11 years,Not applicable,Slightly dissatisfied,Neutral,45,Rarely,Fair
Netherlands,25,male,Bachelors degree,Information systems,Not employed,Data scientist,3-5 years,9-11 years,Neutral,Slightly dissatisfied,43,Never,Excellent
France,63,male,Doctoral degree,Engineering,Student,Data scientist,6-8 years,0-2 years,Very dissatisfied,Very satisfied,60,Most of the time,Fair
Other,53,female,Some college,Engineering,Not employed,Other,0-2 years,6-8 years,Slightly satisfied,Neutral,66,Full-time remote,Good
Australia,51,male,Secondary school,Other,Employed full-time,Back-end developer,6-8 years,3-5 years,Slightly satisfied,Very dissatisfied,25,Never,Fair
Brazil,25,male,Bachelors degree,Mathematics,Not employed,Front-end developer,12+ years,12+ years,Very dissatisfied,Neutral,37,Sometimes,Fair
India,52,male,Masters degree,Mathematics,Self-employed,Data scientist,6-8 years,12+ years,Very dissatisfied,Slightly dissatisfied,51,Sometimes,Poor
United States,63,female,Secondary school,Engineering,Self-employed,Full-stack developer,6-8 years,12+ years,Slightly dissatisfied,Very satisfied,66,Rarely,Excellent
Brazil,48,other,Bachelors degree,Information systems,Not employed,Front-end developer,9-11 years,6-8 years,Very dissatisfied,Very dissatisfied,35,Most of the time,Fair
India,44,male,Bachelors degree,Engineering,Not employed,Other,6-8 years,Not applicable,Very satisfied,Slightly satisfied,67,Rarely,Poor
United States,23,male,Some college,Other,Student,Other,9-11 years,9-11 years,Very dissatisfied,Slightly dissatisfied,27,Most of the time,Prefer not to say
Brazil,31,male,Some college,Engineering,Employed part-time,Full-stack developer,0-2 years,0-2 years,Very satisfied,Very satisfied,34,Never,Excellent
Spain,42,female,Some college,Mathematics,Employed part-time,Front-end developer,6-8 years,3-5 years,Slightly satisfied,Very dissatisfied,63,Never,Good
France,54,female,Doctoral degree,Computer science,Student,Other,12+ years,12+ years,Very dissatisfied,Slightly dissatisfied,35,Full-time remote,Good
United States,54,male,Some college,Computer science,Employed full-time,Data scientist,3-5 years,Not applicable,Neutral,Neutral,66,Never,Good
Canada,56,male,Bachelors degree,Computer science,Employed part-time,Full-stack developer,9-11 years,12+ years,Neutral,Slightly satisfied,58,Full-time remote,Good
India,59,female,Doctoral degree,Other,Employed full-time,Back-end developer,3-5 years,9-11 years,Very dissatisfied,Neutral,51,Most of the time,Fair
Spain,58,male,Masters degree,Engineering,Self-employed,Front-end developer,9-11 years,0-2 years,Slightly satisfied,Slightly satisfied,48,Full-time remote,Good
United Kingdom,48,female,Some college,Mathematics,Employed part-time,Data scientist,9-11 years,3-5 years,Very satisfied,Slightly dissatisfied,34,Full-time remote,Excellent
France,28,male,Bachelors degree,Mathematics,Student,Other,9-11 years,9-11 years,Slightly satisfied,Slightly satisfied,21,Sometimes,Poor
Netherlands,43,male,Some college,Information systems,Not employed,Data scientist,6-8 years,9-11 years,Slightly dissatisfied,Very dissatisfied,55,Sometimes,Excellent
Brazil,30,male,Some college,Other,Employed full-time,Back-end developer,12+ years,3-5 years,Very dissatisfied,Very satisfied,77,Most of the time,Poor
India,54,female,Masters degree,Mathematics,Employed full-time,Front-end developer,9-11 years,9-11 years,Slightly satisfied,Slightly satisfied,47,Never,Fair
Brazil,18,male,Masters degree,Information systems,Employed full-time,Data scientist,6-8 years,Not applicable,Very satisfied,Very satisfied,58,Rarely,Excellent
Brazil,56,male,Masters degree,Other,Employed part-time,Other,12+ years,3-5 years,Neutral,Very dissatisfied,37,Rarely,Fair
United States,37,male,Doctoral degree,Mathematics,Employed full-time,Front-end developer,0-2 years,12+ years,Very satisfied,Neutral,37,Never,Good
Brazil,24,male,Some college,Computer science,Not employed,Front-end developer,12+ years,Not applicable,Neutral,Very dissatisfied,57,Rarely,Good
Australia,46,male,Doctoral degree,Engineering,Not employed,Full-stack developer,6-8 years,12+ years,Slightly satisfied,Neutral,34,Never,Good
Brazil,33,male,Bachelors degree,Computer science,Self-employed,Back-end developer,0-2 years,9-11 years,Slightly satisfied,Very satisfied,21,Sometimes,Good
Spain,52,male,Masters degree,Other,Employed full-time,Other,6-8 years,6-8 years,Neutral,Slightly satisfied,74,Most of the time,Good
Netherlands,23,male,Some college,Engineering,Not employed,Other,3-5 years,9-11 years,Slightly satisfied,Slightly dissatisfied,31,Full-time remote,Poor
Netherlands,30,male,Doctoral degree,Mathematics,Employed full-time,Data scientist,9-11 years,9-11 years,Neutral,Slightly dissatisfied,53,Full-time remote,Good
India,54,male,Masters degree,Information systems,Employed part-time,Other,9-11 years,9-11 years,Slightly dissatisfied,Very dissatisfied,69,Most of the time,Fair
United Kingdom,31,female,Some college,Computer science,Student,Front-end developer,3-5 years,12+ years,Neutral,Neutral,55,Rarely,Good
Germany,48,male,Some college,Engineering,Employed part-time,Other,0-2 years,Not applicable,Neutral,Slightly dissatisfied,73,Most of the time,Good
Germany,29,male,Doctoral degree,Engineering,Employed part-time,Other,12+ years,Not applicable,Slightly satisfied,Slightly satisfied,67,Full-time remote,Fair
Germany,65,male,Some college,Computer science,Employed part-time,Data scientist,6-8 years,3-5 years,Very satisfied,Very satisfied,21,Full-time remote,Good
Canada,57,male,Doctoral degree,Computer science,Self-employed,Full-stack developer,6-8 years,Not applicable,Neutral,Very satisfied,77,Most of the time,Good
Netherlands,25,male,Secondary school,Information systems,Not employed,Other,3-5 years,9-11 years,Very dissatisfied,Slightly dissatisfied,66,Full-time remote,Good
Canada,18,male,Bachelors degree,Engineering,Not employed,Full-stack developer,3-5 years,9-11 years,Slightly satisfied,Neutral,48,Most of the time,Prefer not to say
Netherlands,42,female,Some college,Information systems,Employed part-time,Full-stack developer,9-11 years,9-11 years,Very dissatisfied,Neutral,42,Sometimes,Good
United Kingdom,59,male,Secondary school,Computer science,Not employed,Data scientist,6-8 years,6-8 years,Neutral,Very satisfied,64,Most of the time,Good
Netherlands,38,male,Some college,Engineering,Not employed,Data scientist,3-5 years,12+ years,Slightly satisfied,Neutral,60,Rarely,Prefer not to say
India,30,male,Doctoral degree,Engineering,Employed part-time,Data scientist,0-2 years,12+ years,Neutral,Very dissatisfied,36,Never,Fair
Netherlands,23,female,Masters degree,Other,Student,Full-stack developer,0-2 years,3-5 years,Very satisfied,Very dissatisfied,39,Rarely,Good
India,18,male,Masters degree,Computer science,Not employed,Back-end developer,0-2 years,Not applicable,Neutral,Neutral,29,Full-time remote,Good
United Kingdom,55,male,Masters degree,Information systems,Self-employed,Other,12+ years,0-2 years,Slightly satisfied,Slightly satisfied,60,Sometimes,Good
Canada,63,male,Bachelors degree,Computer science,Not employed,Full-stack developer,6-8 years,Not applicable,Very satisfied,Neutral,73,Rarely,Prefer not to say
Other,36,male,Bachelors degree,Mathematics,Self-employed,Back-end developer,3-5 years,9-11 years,Very satisfied,Neutral,77,Most of the time,Poor
Spain,38,male,Some college,Information systems,Self-employed,Back-end developer,12+ years,9-11 years,Very satisfied,Slightly dissatisfied,68,Rarely,Prefer not to say
Australia,56,female,Bachelors degree,Computer science,Employed part-time,Data scientist,9-11 years,Not applicable,Slightly dissatisfied,Slightly satisfied,60,Full-time remote,Poor
Germany,22,female,Masters degree,Computer science,Employed full-time,Data scientist,9-11 years,12+ years,Neutral,Slightly dissatisfied,51,Sometimes,Excellent
Australia,53,male,Bachelors degree,Computer science,Student,Front-end developer,3-5 years,6-8 years,Slightly dissatisfied,Very satisfied,32,Most of the time,Good
Germany,63,female,Secondary school,Information systems,Employed full-time,Other,12+ years,0-2 years,Very satisfied,Very satisfied,72,Never,Good
United Kingdom,43,male,Bachelors degree,Computer science,Not employed,Front-end developer,3-5 years,0-2 years,Slightly dissatisfied,Very satisfied,65,Sometimes,Fair
India,43,female,Bachelors degree,Computer science,Not employed,Other,3-5 years,9-11 years,Slightly dissatisfied,Slightly satisfied,72,Rarely,Excellent
Other,43,female,Bachelors degree,Information systems,Employed part-time,Data scientist,12+ years,12+ years,Very dissatisfied,Neutral,66,Full-time remote,Excellent
Germany,25,male,Masters degree,Engineering,Employed part-time,Front-end developer,9-11 years,0-2 years,Neutral,Slightly dissatisfied,66,Rarely,Excellent
Germany,47,male,Doctoral degree,Engineering,Not employed,Data scientist,6-8 years,9-11 years,Slightly satisfied,Slightly satisfied,46,Never,Good
India,51,female,Some college,Information systems,Student,Data scientist,9-11 years,12+ years,Neutral,Neutral,36,Sometimes,Good
Other,34,male,Secondary school,Information systems,Self-employed,Data scientist,6-8 years,3-5 years,Very dissatisfied,Neutral,79,Never,Prefer not to say
Spain,55,male,Some college,Computer science,Employed full-time,Front-end developer,0-2 years,3-5 years,Slightly dissatisfied,Neutral,46,Sometimes,Good
Germany,43,male,Doctoral degree,Information systems,Employed full-time,Back-end developer,9-11 years,0-2 years,Very satisfied,Very satisfied,42,Sometimes,Poor
India,61,male,Some college,Computer science,Student,Back-end developer,6-8 years,Not applicable,Slightly satisfied,Very satisfied,50,Sometimes,Prefer not to say
Germany,64,male,Masters degree,Information systems,Not employed,Other,6-8 years,12+ years,Very dissatisfied,Very satisfied,59,Most of the time,Fair
Spain,44,male,Secondary school,Computer science,Employed full-time,Front-end developer,12+ years,0-2 years,Slightly satisfied,Slightly satisfied,34,Full-time remote,Good
United States,23,female,Masters degree,Information systems,Self-employed,Data scientist,12+ years,12+ years,Slightly dissatisfied,Very satisfied,80,Most of the time,Good
United Kingdom,36,male,Doctoral degree,Computer science,Not employed,Front-end developer,9-11 years,6-8 years,Neutral,Neutral,60,Most of the time,Excellent
United States,64,male,Doctoral degree,Information systems,Employed full-time,Back-end developer,6-8 years,3-5 years,Neutral,Very dissatisfied,70,Rarely,Good
India,63,female,Secondary school,Engineering,Employed part-time,Data scientist,0-2 years,Not applicable,Very dissatisfied,Slightly dissatisfied,20,Full-time remote,Fair
India,50,male,Masters degree,Engineering,Employed part-time,Full-stack developer,9-11 years,9-11 years,Slightly dissatisfied,Very dissatisfied,74,Never,Fair
Canada,56,male,Masters degree,Information systems,Student,Other,6-8 years,Not applicable,Neutral,Very dissatisfied,42,Full-time remote,Good
Germany,51,male,Secondary school,Computer science,Employed full-time,Back-end developer,0-2 years,3-5 years,Slightly dissatisfied,Slightly satisfied,66,Rarely,Good
India,41,female,Some college,Computer science,Self-employed,Front-end developer,12+ years,Not applicable,Slightly dissatisfied,Very satisfied,80,Sometimes,Poor
Germany,31,male,Masters degree,Other,Self-employed,Front-end developer,9-11 years,0-2 years,Very satisfied,Very satisfied,27,Rarely,Poor
Germany,20,male,Some college,Mathematics,Self-employed,Back-end developer,3-5 years,3-5 years,Slightly satisfied,Very satisfied,25,Most of the time,Excellent
Germany,58,female,Some college,Mathematics,Employed full-time,Front-end developer,3-5 years,3-5 years,Very satisfied,Very satisfied,58,Never,Poor
Australia,37,female,Secondary school,Other,Employed full-time,Back-end developer,12+ years,3-5 years,Slightly satisfied,Slightly satisfied,28,Rarely,Excellent
United Kingdom,40,male,Bachelors degree,Computer science,Not employed,Back-end developer,12+ years,Not applicable,Very dissatisfied,Very dissatisfied,30,Sometimes,Good
Brazil,20,male,Some college,Mathematics,Employed part-time,Back-end developer,6-8 years,0-2 years,Slightly satisfied,Very dissatisfied,33,Never,Good
Brazil,19,male,Bachelors degree,Engineering,Employed full-time,Back-end developer,6-8 years,12+ years,Very satisfied,Slightly satisfied,20,Never,Good
Netherlands,29,male,Some college,Other,Employed part-time,Back-end developer,6-8 years,9-11 years,Neutral,Slightly dissatisfied,62,Sometimes,Excellent
Netherlands,29,male,Secondary school,Engineering,Employed part-time,Front-end developer,0-2 years,3-5 years,Slightly dissatisfied,Neutral,30,Full-time remote,Fair
