age,country,employment,remotework,orgsize,comptotal,jobsat,convertedcompyearly,industry
25-34 years old,Bangladesh,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,3720000.0,2.0,31612.0,Software Development
45-54 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,63000.0,6.0,67666.0,Software Development
25-34 years old,Germany,"Employed, full-time",In-person,100 to 499 employees,42000.0,5.0,45111.0,Other:
25-34 years old,Poland,"Employed, full-time",Remote,"10,000 or more employees",400000.0,8.0,98986.0,"Internet, Telecomm or Information Services"
18-24 years old,Netherlands,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",20 to 99 employees,15000.0,5.0,16111.0,Software Development
25-34 years old,Estonia,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,53200.0,1.0,57140.0,Software Development
35-44 years old,Poland,"Employed, full-time",In-person,"1,000 to 4,999 employees",260000.0,9.0,64341.0,Other:
25-34 years old,Germany,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","10,000 or more employees",200000.0,4.0,214812.0,Manufacturing
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, part-time","Hybrid (some remote, some in-person)",20 to 99 employees,51000.0,7.0,64968.0,Healthcare
25-34 years old,Turkey,"Employed, full-time",In-person,10 to 19 employees,636000.0,0.0,19661.0,Software Development
25-34 years old,Switzerland,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,78000.0,6.0,86905.0,Other:
25-34 years old,Uzbekistan,"Employed, full-time",Remote,100 to 499 employees,26400.0,8.0,2.0,Media & Advertising Services
25-34 years old,Spain,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,55000.0,9.0,59073.0,Software Development
25-34 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",65000.0,4.0,69814.0,Manufacturing
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,500 to 999 employees,45000.0,3.0,57325.0,"Internet, Telecomm or Information Services"
18-24 years old,Ukraine,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,1776000.0,6.0,43839.0,Software Development
35-44 years old,Italy,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,57000.0,7.0,61222.0,Healthcare
25-34 years old,Czech Republic,"Employed, full-time;Independent contractor, freelancer, or self-employed",In-person,20 to 99 employees,720000.0,7.0,31273.0,Software Development
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,42000.0,4.0,45111.0,Software Development
25-34 years old,Singapore,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",In-person,2 to 9 employees,8300.0,8.0,6135.0,"Transportation, or Supply Chain"
25-34 years old,Switzerland,"Employed, full-time",In-person,20 to 99 employees,90000.0,7.0,100275.0,Software Development
18-24 years old,Turkey,"Employed, part-time",Remote,100 to 499 employees,350000.0,8.0,10820.0,Software Development
35-44 years old,Poland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,240000.0,9.0,59391.0,Software Development
35-44 years old,Ukraine,"Employed, full-time",Remote,"5,000 to 9,999 employees",54220.0,7.0,54220.0,Software Development
45-54 years old,Ukraine,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,660000.0,5.0,16291.0,Software Development
25-34 years old,"Iran, Islamic Republic of...","Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,25876.0,5.0,25876.0,Software Development
25-34 years old,Italy,"Employed, full-time;Student, part-time","Hybrid (some remote, some in-person)",10 to 19 employees,25000.0,9.0,26852.0,Software Development
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,80000.0,8.0,101910.0,Software Development
25-34 years old,Czech Republic,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,1200000.0,7.0,52122.0,Retail and Consumer Services
35-44 years old,Mauritius,"Employed, full-time","Hybrid (some remote, some in-person)",2 to 9 employees,2990000.0,10.0,64273.0,Fintech
35-44 years old,Spain,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",60000.0,7.0,64444.0,Energy
25-34 years old,India,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",380000.0,5.0,4546.0,Healthcare
18-24 years old,Nepal,"Employed, full-time",In-person,20 to 99 employees,720000.0,4.0,5378.0,Software Development
25-34 years old,France,"Employed, full-time",In-person,2 to 9 employees,38000.0,7.0,40814.0,Software Development
25-34 years old,Hungary,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",13000000.0,6.0,35328.0,Banking/Financial Services
18-24 years old,India,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",1600000.0,8.0,19142.0,Software Development
18-24 years old,Ukraine,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",50000.0,7.0,1234.0,Software Development
25-34 years old,Spain,"Employed, full-time",In-person,100 to 499 employees,48000.0,6.0,51555.0,Computer Systems Design and Services
18-24 years old,Austria,"Student, part-time;Employed, part-time","Hybrid (some remote, some in-person)",100 to 499 employees,22800.0,7.0,24489.0,"Internet, Telecomm or Information Services"
25-34 years old,Nigeria,"Employed, full-time",Remote,20 to 99 employees,16373655.0,6.0,10880.0,Other:
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,500 to 999 employees,70000.0,0.0,89172.0,Healthcare
25-34 years old,Czech Republic,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,670000.0,7.0,29101.0,Manufacturing
25-34 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,100000.0,6.0,107406.0,Software Development
25-34 years old,Russian Federation,"Employed, full-time",Remote,10 to 19 employees,160000.0,8.0,1793.0,Software Development
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,39000.0,7.0,41888.0,"Transportation, or Supply Chain"
25-34 years old,Ukraine,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,10 to 19 employees,120000.0,8.0,120000.0,Software Development
25-34 years old,Greece,"Employed, full-time",Remote,"1,000 to 4,999 employees",45000.0,7.0,48333.0,Other:
25-34 years old,Poland,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,150000.0,8.0,37120.0,Government
25-34 years old,Belgium,"Employed, full-time",In-person,20 to 99 employees,41000.0,8.0,44037.0,Other:
25-34 years old,Israel,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,456000.0,6.0,123048.0,"Transportation, or Supply Chain"
18-24 years old,Russian Federation,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,4312000.0,5.0,48314.0,Healthcare
35-44 years old,Israel,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,500000.0,9.0,134921.0,Manufacturing
35-44 years old,Poland,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",342000.0,3.0,84633.0,Software Development
35-44 years old,Germany,"Employed, part-time","Hybrid (some remote, some in-person)",20 to 99 employees,60000.0,2.0,64444.0,Software Development
35-44 years old,Ukraine,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,3600000.0,7.0,88862.0,Software Development
25-34 years old,Turkey,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,800000.0,2.0,24731.0,Software Development
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,49500.0,7.0,63057.0,Other:
35-44 years old,Turkey,"Independent contractor, freelancer, or self-employed",Remote,2 to 9 employees,6500000.0,9.0,200939.0,Software Development
25-34 years old,India,"Employed, full-time",Remote,20 to 99 employees,850000.0,6.0,10169.0,Software Development
35-44 years old,Poland,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",240000.0,8.0,59391.0,Software Development
25-34 years old,Ukraine,"Employed, full-time",Remote,"1,000 to 4,999 employees",12000.0,8.0,12000.0,Software Development
25-34 years old,Ukraine,"Employed, full-time",Remote,10 to 19 employees,720000.0,7.0,17772.0,Software Development
35-44 years old,Ukraine,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,1000000.0,6.0,24684.0,Computer Systems Design and Services
35-44 years old,Ukraine,"Employed, full-time",Remote,"1,000 to 4,999 employees",102000.0,10.0,102000.0,Media & Advertising Services
25-34 years old,Canada,"Employed, full-time",Remote,20 to 99 employees,109200.0,7.0,79381.0,Software Development
55-64 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,2 to 9 employees,37000.0,5.0,47134.0,Retail and Consumer Services
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",41100.0,8.0,52356.0,Software Development
25-34 years old,India,"Employed, full-time",Remote,"10,000 or more employees",2100000.0,5.0,25123.0,Software Development
45-54 years old,Sweden,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,800000.0,4.0,76307.0,Other:
25-34 years old,India,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,2400000.0,8.0,28712.0,Fintech
25-34 years old,Austria,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",2 to 9 employees,30000.0,8.0,32222.0,Software Development
35-44 years old,Italy,"Employed, full-time",Remote,20 to 99 employees,38000.0,9.0,40814.0,"Internet, Telecomm or Information Services"
35-44 years old,Poland,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"1,000 to 4,999 employees",516000.0,9.0,127692.0,"Transportation, or Supply Chain"
35-44 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",70000.0,1.0,75184.0,Banking/Financial Services
35-44 years old,India,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",5400000.0,5.0,64603.0,Software Development
25-34 years old,Singapore,"Employed, full-time;Independent contractor, freelancer, or self-employed",In-person,"1,000 to 4,999 employees",54600.0,7.0,40358.0,Higher Education
35-44 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,39000.0,8.0,41888.0,Media & Advertising Services
25-34 years old,Hungary,"Employed, full-time",In-person,20 to 99 employees,12000000.0,3.0,32610.0,Other:
35-44 years old,Czech Republic,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,963000.0,10.0,41828.0,Other:
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",149500.0,9.0,190445.0,Computer Systems Design and Services
45-54 years old,Norway,"Employed, full-time",In-person,10 to 19 employees,970000.0,3.0,90783.0,Software Development
18-24 years old,Ukraine,"Employed, full-time",Remote,"1,000 to 4,999 employees",732000.0,6.0,18069.0,Software Development
35-44 years old,Germany,"Employed, full-time",Remote,100 to 499 employees,100000.0,7.0,107406.0,Software Development
25-34 years old,Portugal,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",38000.0,8.0,40814.0,Software Development
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",100000.0,6.0,127388.0,Software Development
25-34 years old,Ukraine,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",100000.0,9.0,100000.0,Software Development
35-44 years old,Denmark,"Employed, full-time",In-person,"1,000 to 4,999 employees",500000.0,8.0,72001.0,Software Development
35-44 years old,Sweden,"Employed, full-time","Hybrid (some remote, some in-person)",2 to 9 employees,800000.0,10.0,76307.0,Manufacturing
25-34 years old,Hungary,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,25800000.0,6.0,70113.0,Software Development
35-44 years old,France,"Employed, full-time",In-person,500 to 999 employees,67000.0,3.0,71962.0,Manufacturing
35-44 years old,Brazil,"Employed, full-time",Remote,"5,000 to 9,999 employees",227000.0,4.0,42333.0,Government
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,50000.0,7.0,63694.0,Retail and Consumer Services
35-44 years old,Germany,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",100 to 499 employees,55000.0,9.0,59073.0,Manufacturing
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,63000.0,0.0,67666.0,Higher Education
25-34 years old,Brazil,"Employed, full-time",Remote,"1,000 to 4,999 employees",105000.0,8.0,105000.0,Software Development
25-34 years old,Hungary,"Employed, full-time",Remote,100 to 499 employees,10000000.0,7.0,27175.0,Software Development
25-34 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,72000.0,10.0,77332.0,Software Development
35-44 years old,Poland,"Independent contractor, freelancer, or self-employed",Remote,"1,000 to 4,999 employees",520000.0,10.0,128682.0,Fintech
25-34 years old,Spain,"Employed, full-time",Remote,500 to 999 employees,45000.0,6.0,48333.0,Software Development
25-34 years old,India,"Employed, full-time",In-person,100 to 499 employees,2000000.0,7.0,23927.0,Healthcare
25-34 years old,Switzerland,"Student, part-time;Employed, part-time","Hybrid (some remote, some in-person)",20 to 99 employees,70000.0,7.0,77992.0,Software Development
25-34 years old,Ukraine,"Employed, full-time",Remote,10 to 19 employees,1900000.0,10.0,46899.0,Software Development
25-34 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,99000.0,5.0,106332.0,Software Development
25-34 years old,Netherlands,"Employed, full-time",In-person,20 to 99 employees,50000.0,7.0,53703.0,Manufacturing
18-24 years old,Germany,"Employed, full-time",In-person,100 to 499 employees,52000.0,7.0,55851.0,Software Development
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,110000.0,6.0,140127.0,Fintech
35-44 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",53500.0,8.0,57462.0,Government
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",86000.0,6.0,92369.0,Manufacturing
25-34 years old,Croatia,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,48000.0,8.0,51555.0,Software Development
18-24 years old,India,"Employed, full-time",Remote,100 to 499 employees,800000.0,7.0,9571.0,Other:
35-44 years old,Denmark,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",800000.0,8.0,115202.0,Healthcare
25-34 years old,Japan,"Employed, full-time",In-person,10 to 19 employees,5040000.0,6.0,32077.0,Higher Education
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,100 to 499 employees,86500.0,8.0,110191.0,Software Development
18-24 years old,Germany,"Student, part-time;Employed, part-time",In-person,"5,000 to 9,999 employees",12000.0,10.0,12889.0,Other:
25-34 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,57000.0,5.0,61222.0,Healthcare
18-24 years old,Germany,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",40000.0,6.0,42962.0,Software Development
35-44 years old,Australia,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",126000.0,9.0,83243.0,Other:
25-34 years old,India,"Employed, full-time",In-person,100 to 499 employees,100000.0,7.0,1196.0,Fintech
25-34 years old,Pakistan,"Employed, full-time;Student, full-time",Remote,20 to 99 employees,80000.0,9.0,80000.0,Software Development
35-44 years old,Netherlands,"Employed, full-time",Remote,20 to 99 employees,104000.0,8.0,111702.0,Software Development
25-34 years old,Sweden,"Employed, full-time",In-person,100 to 499 employees,600000.0,4.0,57230.0,"Transportation, or Supply Chain"
35-44 years old,Italy,"Employed, full-time",In-person,2 to 9 employees,42710.0,6.0,45873.0,Software Development
35-44 years old,Greece,"Employed, full-time",Remote,500 to 999 employees,51000.0,7.0,54777.0,Retail and Consumer Services
35-44 years old,Brazil,"Employed, full-time",Remote,2 to 9 employees,144000.0,6.0,26854.0,"Transportation, or Supply Chain"
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,64800.0,6.0,69599.0,Software Development
55-64 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,220000.0,7.0,220000.0,Software Development
35-44 years old,Spain,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",85000.0,0.0,91295.0,"Transportation, or Supply Chain"
35-44 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,90000.0,6.0,96666.0,Retail and Consumer Services
25-34 years old,Australia,"Student, full-time;Employed, part-time",In-person,"10,000 or more employees",84000.0,9.0,55495.0,Software Development
25-34 years old,India,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",1704000.0,6.0,20386.0,Software Development
35-44 years old,Italy,"Employed, full-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",30000.0,7.0,32222.0,Banking/Financial Services
45-54 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,165000.0,7.0,165000.0,Healthcare
25-34 years old,Côte d'Ivoire,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",20 to 99 employees,3600000.0,1.0,7852.0,Software Development
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",40000.0,8.0,50955.0,"Internet, Telecomm or Information Services"
35-44 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,44000.0,8.0,47259.0,Software Development
45-54 years old,Portugal,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,42000.0,5.0,45111.0,Insurance
25-34 years old,France,"Employed, full-time",In-person,20 to 99 employees,39000.0,5.0,41888.0,Software Development
45-54 years old,Bangladesh,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",2 to 9 employees,1200000.0,9.0,10197.0,Software Development
25-34 years old,Russian Federation,"Employed, full-time",Remote,20 to 99 employees,4800000.0,8.0,53782.0,Software Development
18-24 years old,India,"Employed, full-time",In-person,2 to 9 employees,120000.0,8.0,1436.0,Software Development
25-34 years old,Norway,"Employed, part-time","Hybrid (some remote, some in-person)",20 to 99 employees,288750.0,4.0,27024.0,Software Development
18-24 years old,India,"Employed, full-time",In-person,I don’t know,700000.0,10.0,8374.0,Manufacturing
25-34 years old,Norway,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,935000.0,6.0,87508.0,"Transportation, or Supply Chain"
25-34 years old,Ukraine,"Employed, full-time;Student, part-time",Remote,20 to 99 employees,28000.0,3.0,28000.0,Fintech
25-34 years old,Russian Federation,"Employed, full-time",In-person,2 to 9 employees,1000000.0,8.0,1000000.0,Software Development
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,35000.0,8.0,44586.0,Fintech
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",330000.0,10.0,330000.0,"Internet, Telecomm or Information Services"
18-24 years old,Indonesia,"Employed, full-time;Student, full-time",In-person,100 to 499 employees,2000000.0,7.0,123.0,"Internet, Telecomm or Information Services"
25-34 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",97000.0,7.0,104184.0,Other:
18-24 years old,India,"Employed, full-time",In-person,10 to 19 employees,350000.0,8.0,4187.0,Software Development
35-44 years old,Czech Republic,"Independent contractor, freelancer, or self-employed",In-person,10 to 19 employees,1200000.0,9.0,52122.0,Other:
45-54 years old,Sweden,"Employed, full-time",In-person,500 to 999 employees,750000.0,3.0,71538.0,Healthcare
35-44 years old,Russian Federation,"Employed, full-time",In-person,10 to 19 employees,1200000.0,8.0,13445.0,Software Development
25-34 years old,Ukraine,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,350000.0,8.0,8639.0,Software Development
35-44 years old,Italy,"Employed, full-time",In-person,10 to 19 employees,45000.0,5.0,48333.0,Energy
35-44 years old,Tunisia,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,5000.0,7.0,1599.0,Software Development
25-34 years old,Austria,"Employed, full-time",In-person,500 to 999 employees,61000.0,5.0,65518.0,Manufacturing
35-44 years old,Ukraine,"Employed, full-time",Remote,10 to 19 employees,42.0,7.0,1.0,Fintech
25-34 years old,Ukraine,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",5000000.0,8.0,123419.0,Fintech
25-34 years old,Japan,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",20000000.0,5.0,127288.0,Manufacturing
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,55000.0,8.0,59073.0,Computer Systems Design and Services
25-34 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,51792.0,8.0,55628.0,Healthcare
25-34 years old,United States of America,"Employed, full-time",Remote,100 to 499 employees,250000.0,8.0,250000.0,Computer Systems Design and Services
45-54 years old,Ukraine,"Employed, full-time",Remote,20 to 99 employees,3300.0,7.0,3544.0,Software Development
35-44 years old,Sweden,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,1000000.0,9.0,95384.0,Software Development
35-44 years old,Switzerland,"Employed, full-time",In-person,100 to 499 employees,100000.0,7.0,111417.0,Higher Education
45-54 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,87000.0,7.0,93443.0,Software Development
25-34 years old,Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,60000.0,5.0,64444.0,Manufacturing
25-34 years old,Bulgaria,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,116304.0,8.0,63877.0,Software Development
25-34 years old,Ukraine,"Employed, full-time",Remote,"5,000 to 9,999 employees",36000.0,7.0,36000.0,Software Development
25-34 years old,Germany,"Employed, full-time",Remote,10 to 19 employees,48000.0,8.0,51555.0,Software Development
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,120000.0,4.0,120000.0,Other:
25-34 years old,France,"Employed, full-time",In-person,20 to 99 employees,44000.0,8.0,47259.0,Other:
35-44 years old,Australia,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,20 to 99 employees,150000.0,9.0,99099.0,Software Development
25-34 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,74400.0,6.0,79910.0,Other:
25-34 years old,Germany,"Employed, full-time",In-person,100 to 499 employees,42000.0,6.0,45111.0,Manufacturing
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"10,000 or more employees",130000.0,9.0,165604.0,Government
25-34 years old,Spain,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,40000.0,6.0,42962.0,Software Development
25-34 years old,Germany,"Employed, full-time;Independent contractor, freelancer, or self-employed",In-person,100 to 499 employees,51000.0,7.0,54777.0,Manufacturing
18-24 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,42000.0,6.0,45111.0,Other:
35-44 years old,Italy,"Employed, full-time",In-person,20 to 99 employees,35000.0,8.0,37592.0,Software Development
25-34 years old,Ukraine,"Employed, full-time;Student, full-time",Remote,100 to 499 employees,30000.0,8.0,741.0,Retail and Consumer Services
45-54 years old,Brazil,"Employed, full-time",Remote,2 to 9 employees,120000.0,5.0,22378.0,Software Development
18-24 years old,Germany,"Student, full-time;Employed, part-time",In-person,100 to 499 employees,6060.0,8.0,6509.0,Government
45-54 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",230000.0,9.0,230000.0,Software Development
25-34 years old,India,"Employed, full-time",In-person,"10,000 or more employees",3500000.0,9.0,41872.0,Software Development
25-34 years old,Austria,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,62000.0,7.0,66592.0,Retail and Consumer Services
18-24 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,120000.0,10.0,120000.0,"Transportation, or Supply Chain"
25-34 years old,Bangladesh,"Employed, full-time",Remote,20 to 99 employees,12000.0,8.0,12000.0,Software Development
35-44 years old,Canada,"Employed, part-time",Remote,2 to 9 employees,40000.0,7.0,29077.0,Software Development
55-64 years old,United States of America,"Employed, full-time;Student, part-time",Remote,"10,000 or more employees",140000.0,8.0,140000.0,"Internet, Telecomm or Information Services"
25-34 years old,France,"Employed, full-time",Remote,500 to 999 employees,58000.0,10.0,62296.0,Retail and Consumer Services
55-64 years old,United States of America,"Employed, full-time",Remote,20 to 99 employees,122062.0,6.0,122062.0,Government
25-34 years old,France,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"Just me - I am a freelancer, sole proprietor, etc.",80000.0,6.0,85925.0,Software Development
25-34 years old,Slovakia,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",33500.0,7.0,35981.0,Media & Advertising Services
25-34 years old,Australia,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",80000.0,6.0,52853.0,Government
35-44 years old,Switzerland,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,140000.0,6.0,155984.0,"Internet, Telecomm or Information Services"
45-54 years old,Germany,"Employed, full-time",Remote,100 to 499 employees,80000.0,7.0,85925.0,"Internet, Telecomm or Information Services"
18-24 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,40000.0,7.0,42962.0,Software Development
25-34 years old,France,"Employed, full-time",In-person,20 to 99 employees,38000.0,8.0,40814.0,"Transportation, or Supply Chain"
25-34 years old,Ukraine,"Employed, full-time",Remote,2 to 9 employees,44400.0,4.0,1096.0,"Internet, Telecomm or Information Services"
45-54 years old,Sweden,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",700000.0,7.0,66769.0,Higher Education
25-34 years old,India,"Employed, full-time",In-person,20 to 99 employees,1500000.0,5.0,17945.0,Software Development
65 years or older,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",50000.0,6.0,63694.0,Higher Education
35-44 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",144000.0,0.0,144000.0,Banking/Financial Services
35-44 years old,Australia,"Employed, full-time;Student, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,130000.0,6.0,85886.0,Other:
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,40000.0,6.0,42962.0,Software Development
45-54 years old,Ukraine,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,1000000.0,10.0,24684.0,Software Development
25-34 years old,Germany,"Employed, full-time",Remote,20 to 99 employees,80000.0,3.0,85925.0,"Internet, Telecomm or Information Services"
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",140000.0,6.0,140000.0,Fintech
25-34 years old,Ireland,"Employed, full-time",Remote,100 to 499 employees,70000.0,9.0,75184.0,Software Development
35-44 years old,Philippines,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,1300000.0,7.0,22128.0,Other:
25-34 years old,United States of America,"Employed, full-time;Student, full-time",Remote,100 to 499 employees,140000.0,10.0,140000.0,Software Development
18-24 years old,Hungary,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,15000000.0,3.0,40763.0,Manufacturing
